LATITUDE,LONGITUDE,PARCELNO,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality
25.8910306063,-80.1605605249,622280070620,440000.0,9375,1753,9562,2815.9,12811.4,347.6,42815.3,37742.2,15954.9,67,0,8,4
25.891324233,-80.1539675238,622280100460,349000.0,9375,1715,9562,4359.1,10648.4,337.8,43504.9,37340.5,18125.0,63,0,9,4
25.8913341472,-80.153739502,622280100470,800000.0,9375,2276,49206,4412.9,10574.1,297.1,43530.4,37328.7,18200.5,61,0,2,4
25.8917646206,-80.1526571373,622280100530,988000.0,12450,2058,10033,4585.0,10156.5,11960.0,43797.5,37423.2,18514.4,63,0,9,4
25.891824571,-80.1546394619,622280100200,755000.0,12800,1684,16681,4063.4,10836.8,326.6,43599.7,37550.8,17903.4,42,0,7,4
25.8920596966,-80.1613541539,622280070180,630000.0,9900,1531,2978,2391.4,13017.0,188.9,43135.1,38176.2,15687.2,41,0,2,4
25.8924726072,-80.1572166474,622280080100,1020000.0,10387,1753,23116,3277.4,11667.8,11960.0,43598.7,37973.9,17068.2,63,0,2,5
25.8930187999,-80.1574258802,622280080400,850000.0,10272,1663,34933,3112.4,11718.1,10.5,43780.8,38198.3,16989.9,21,0,9,4
25.8930463777,-80.1615562769,622280080020,250000.0,9375,1493,11668,2081.8,13043.8,51.5,43481.7,38542.0,15623.3,56,0,3,4
25.8930495526,-80.1580476911,622280080370,1220000.0,13803,3077,34580,2937.7,11917.7,9.7,43730.1,38235.2,16787.0,63,0,11,5
25.8932048397,-80.1555378492,622280080480,1160000.0,10848,1983,28806,3512.0,11062.3,12.1,44018.8,38132.1,17618.3,64,0,2,4
25.8934605014,-80.1683697701,622290410300,260000.0,8438,1794,9562,242.8,15310.4,738.6,43127.5,39333.4,13433.6,51,0,11,2
